Population;Treatment;CTmax
Skagen;Control;36.22
Skagen;Control;37.07
Skagen;Control;35.88
Skagen;Control;37.31
Skagen;Control;37.36
Skagen;Control;36.05
Skagen;Control;38.11
Skagen;Control;37.19
Skagen;Control;36.04
Skagen;Control;37.04
Skagen;Control;36.71
Skagen;Control;36.46
Skagen;Control;36.98
Skagen;Control;37.19
Skagen;Control;36.88
Skagen;Control;36.73
Skagen;Control;36.59
Skagen;Control;36.64
Skagen;Control;35.99
Skagen;Control;37.13
Skagen;Control;36.69
Skagen;Control;37.03
Skagen;Control;36.84
Skagen;Control;36.98
Mols;Control;36.68
Mols;Control;37.37
Mols;Control;37.63
Mols;Control;36.01
Mols;Control;37.57
Mols;Control;37.01
Mols;Control;37.9
Mols;Control;37.32
Mols;Control;37.19
Mols;Control;37.09
Mols;Control;36.81
Mols;Control;37.17
Mols;Control;37.56
Mols;Control;36.56
Mols;Control;36.9
Mols;Control;36.81
Mols;Control;37.36
Mols;Control;37
Mols;Control;37.13
Mols;Control;36.96
Mols;Control;37.28
Mols;Control;37.1
Mols;Control;37.31
Mols;Control;36.85
Hamburg;Control;36.81
Hamburg;Control;37.22
Hamburg;Control;37.81
Hamburg;Control;37.83
Hamburg;Control;37.96
Hamburg;Control;37.24
Hamburg;Control;37.59
Hamburg;Control;37.64
Hamburg;Control;37.29
Hamburg;Control;37.38
Hamburg;Control;37.42
Hamburg;Control;38.09
Hamburg;Control;37.73
Hamburg;Control;37.81
Hamburg;Control;37.42
Hamburg;Control;38.16
Hamburg;Control;36.94
Hamburg;Control;38.03
Hamburg;Control;37.86
Hamburg;Control;37.51
Hamburg;Control;37.67
Hamburg;Control;32.48
Hamburg;Control;36.9
Hamburg;Control;37.38
Hannover;Control;33.83
Hannover;Control;38.01
Hannover;Control;37.6
Hannover;Control;38.17
Hannover;Control;37.79
Hannover;Control;37.23
Hannover;Control;38.4
Hannover;Control;38.44
Hannover;Control;38.05
Hannover;Control;38.78
Hannover;Control;36.64
Hannover;Control;37.81
Hannover;Control;37.73
Hannover;Control;36.92
Hannover;Control;36.83
Hannover;Control;37.64
Hannover;Control;37.61
Hannover;Control;37.94
Hannover;Control;37.67
Hannover;Control;37.82
Hannover;Control;38.25
Hannover;Control;37.73
Hannover;Control;38.03
Hannover;Control;37.46
Frankfurt;Control;38.5
Frankfurt;Control;38.55
Frankfurt;Control;38.1
Frankfurt;Control;37.55
Frankfurt;Control;37.47
Frankfurt;Control;38.09
Frankfurt;Control;38.61
Frankfurt;Control;38.95
Frankfurt;Control;38.47
Frankfurt;Control;38.03
Frankfurt;Control;37.68
Frankfurt;Control;37.56
Frankfurt;Control;38.27
Frankfurt;Control;36.98
Frankfurt;Control;37.68
Frankfurt;Control;37.75
Frankfurt;Control;37.63
Frankfurt;Control;38.02
Frankfurt;Control;38.16
Frankfurt;Control;37.52
Frankfurt;Control;38.17
Frankfurt;Control;38.02
Frankfurt;Control;36.71
Frankfurt;Control;37.91
Chorges;Control;37.99
Chorges;Control;37.26
Chorges;Control;38.17
Chorges;Control;37.47
Chorges;Control;37.3
Chorges;Control;37.49
Chorges;Control;37.7
Chorges;Control;37.46
Chorges;Control;37.45
Chorges;Control;38.08
Chorges;Control;37.95
Chorges;Control;37.41
Chorges;Control;37.54
Chorges;Control;38.09
Chorges;Control;37.32
Chorges;Control;37.69
Chorges;Control;37.9
Chorges;Control;38.12
Chorges;Control;37.95
Chorges;Control;37.19
Chorges;Control;38.27
Chorges;Control;36.92
Chorges;Control;38.19
Chorges;Control;37.77
Siena;Control;37.13
Siena;Control;38.26
Siena;Control;38.18
Siena;Control;38.31
Siena;Control;38.17
Siena;Control;37.52
Siena;Control;38.14
Siena;Control;38.61
Siena;Control;38.83
Siena;Control;38.29
Siena;Control;38.39
Siena;Control;38.1
Siena;Control;37.91
Siena;Control;38.4
Siena;Control;38.29
Siena;Control;38.34
Siena;Control;37.99
Siena;Control;38.23
Siena;Control;37.79
Siena;Control;38.03
Siena;Control;38.1
Siena;Control;37.78
Siena;Control;37.81
Siena;Control;38.06
Skagen;Hardening;38.34
Skagen;Hardening;37.64
Skagen;Hardening;37.12
Skagen;Hardening;37.49
Skagen;Hardening;38.29
Skagen;Hardening;37.56
Skagen;Hardening;37.49
Skagen;Hardening;37.88
Skagen;Hardening;37.68
Skagen;Hardening;38.05
Skagen;Hardening;37.02
Skagen;Hardening;37.77
Skagen;Hardening;38.18
Skagen;Hardening;38.12
Skagen;Hardening;38.25
Skagen;Hardening;38.02
Skagen;Hardening;37.78
Skagen;Hardening;37.91
Skagen;Hardening;36.95
Skagen;Hardening;38.27
Skagen;Hardening;38.24
Skagen;Hardening;37.73
Skagen;Hardening;37.53
Skagen;Hardening;38.19
Mols;Hardening;37.8
Mols;Hardening;38.02
Mols;Hardening;37.81
Mols;Hardening;38.49
Mols;Hardening;38.36
Mols;Hardening;37.97
Mols;Hardening;38.77
Mols;Hardening;38.48
Mols;Hardening;37.66
Mols;Hardening;38.53
Mols;Hardening;37.99
Mols;Hardening;37.53
Mols;Hardening;38.23
Mols;Hardening;38.35
Mols;Hardening;37.99
Mols;Hardening;37.87
Mols;Hardening;38.34
Mols;Hardening;38.43
Mols;Hardening;37.86
Mols;Hardening;37.75
Mols;Hardening;38.13
Mols;Hardening;38.29
Mols;Hardening;38.04
Mols;Hardening;38.33
Hamburg;Hardening;38.8
Hamburg;Hardening;38.68
Hamburg;Hardening;38.44
Hamburg;Hardening;37.94
Hamburg;Hardening;38.24
Hamburg;Hardening;38.07
Hamburg;Hardening;37.82
Hamburg;Hardening;38.01
Hamburg;Hardening;38.11
Hamburg;Hardening;38.62
Hamburg;Hardening;37.81
Hamburg;Hardening;38.33
Hamburg;Hardening;38.24
Hamburg;Hardening;38.15
Hamburg;Hardening;38.21
Hamburg;Hardening;37.75
Hamburg;Hardening;38.2
Hamburg;Hardening;37.93
Hamburg;Hardening;38.1
Hamburg;Hardening;38.04
Hamburg;Hardening;37.56
Hamburg;Hardening;38.22
Hamburg;Hardening;37.84
Hamburg;Hardening;37.89
Hannover;Hardening;38.42
Hannover;Hardening;38.57
Hannover;Hardening;37.96
Hannover;Hardening;38.47
Hannover;Hardening;38.06
Hannover;Hardening;37.99
Hannover;Hardening;39.05
Hannover;Hardening;38.85
Hannover;Hardening;38.83
Hannover;Hardening;38.91
Hannover;Hardening;37.94
Hannover;Hardening;38.16
Hannover;Hardening;38.43
Hannover;Hardening;37.95
Hannover;Hardening;37.86
Hannover;Hardening;38.62
Hannover;Hardening;38.38
Hannover;Hardening;38.67
Hannover;Hardening;38.42
Hannover;Hardening;37.89
Hannover;Hardening;37.91
Hannover;Hardening;38.56
Hannover;Hardening;38.41
Hannover;Hardening;37.87
Frankfurt;Hardening;38.74
Frankfurt;Hardening;38.84
Frankfurt;Hardening;38.64
Frankfurt;Hardening;38.97
Frankfurt;Hardening;38.93
Frankfurt;Hardening;38.69
Frankfurt;Hardening;37.98
Frankfurt;Hardening;39.03
Frankfurt;Hardening;38.5
Frankfurt;Hardening;38.89
Frankfurt;Hardening;38.67
Frankfurt;Hardening;38.53
Frankfurt;Hardening;38.7
Frankfurt;Hardening;38.76
Frankfurt;Hardening;38.09
Frankfurt;Hardening;38.22
Frankfurt;Hardening;38.58
Frankfurt;Hardening;38.91
Frankfurt;Hardening;38.34
Frankfurt;Hardening;38.33
Frankfurt;Hardening;38.45
Frankfurt;Hardening;38.29
Frankfurt;Hardening;37.8
Frankfurt;Hardening;36.97
Chorges;Hardening;38.35
Chorges;Hardening;38.74
Chorges;Hardening;38.12
Chorges;Hardening;38.62
Chorges;Hardening;38.1
Chorges;Hardening;37.78
Chorges;Hardening;39.14
Chorges;Hardening;38.76
Chorges;Hardening;38.61
Chorges;Hardening;38.16
Chorges;Hardening;38.51
Chorges;Hardening;38.64
Chorges;Hardening;38.77
Chorges;Hardening;38.5
Chorges;Hardening;37.76
Chorges;Hardening;38.94
Chorges;Hardening;37.58
Chorges;Hardening;37.83
Chorges;Hardening;38.55
Chorges;Hardening;38.45
Chorges;Hardening;38.05
Chorges;Hardening;37.98
Chorges;Hardening;37.26
Chorges;Hardening;38.39
Siena;Hardening;37.92
Siena;Hardening;39.06
Siena;Hardening;38.93
Siena;Hardening;38.32
Siena;Hardening;38.11
Siena;Hardening;38.91
Siena;Hardening;39.15
Siena;Hardening;38.35
Siena;Hardening;39.18
Siena;Hardening;38.97
Siena;Hardening;38.77
Siena;Hardening;38.52
Siena;Hardening;38.03
Siena;Hardening;37.98
Siena;Hardening;39.12
Siena;Hardening;38.97
Siena;Hardening;39.01
Siena;Hardening;38.79
Siena;Hardening;38.63
Siena;Hardening;38.96
Siena;Hardening;39.02
Siena;Hardening;38.67
Siena;Hardening;38.83
Siena;Hardening;38.75
