Population;Treatment;CTmin
Skagen;Control;-1.83
Skagen;Control;-1.87
Skagen;Control;-1.72
Skagen;Control;-1.75
Skagen;Control;-1.9
Skagen;Control;-1.68
Skagen;Control;-1.8
Skagen;Control;-1.83
Skagen;Control;-1.68
Skagen;Control;-1.75
Skagen;Control;-1.49
Skagen;Control;-1.62
Skagen;Control;-1.79
Skagen;Control;-1.64
Skagen;Control;-1.77
Skagen;Control;-1.67
Skagen;Control;-1.79
Skagen;Control;-1.61
Skagen;Control;-1.38
Skagen;Control;-1.53
Skagen;Control;-1.43
Skagen;Control;-1.89
Skagen;Control;-1.64
Skagen;Control;-1.55
Mols;Control;-1.42
Mols;Control;-1.11
Mols;Control;-1.43
Mols;Control;-1.38
Mols;Control;-1.56
Mols;Control;-1.22
Mols;Control;-1.64
Mols;Control;-1.39
Mols;Control;-1.33
Mols;Control;-1.37
Mols;Control;-1.46
Mols;Control;-1.57
Mols;Control;-1.45
Mols;Control;-1.23
Mols;Control;-1.36
Mols;Control;-1.41
Mols;Control;-1.51
Mols;Control;-1.24
Mols;Control;-1.33
Mols;Control;-1.39
Mols;Control;-1.58
Mols;Control;-1.12
Mols;Control;-1.22
Mols;Control;-1.36
Hamburg;Control;-1.01
Hamburg;Control;-1.19
Hamburg;Control;-1.29
Hamburg;Control;-1.26
Hamburg;Control;-1.1
Hamburg;Control;-1.09
Hamburg;Control;-1.52
Hamburg;Control;-1.21
Hamburg;Control;-1.15
Hamburg;Control;-1.23
Hamburg;Control;-1.37
Hamburg;Control;-1.22
Hamburg;Control;-1.18
Hamburg;Control;-1.25
Hamburg;Control;-1.13
Hamburg;Control;-1.26
Hamburg;Control;-1.22
Hamburg;Control;-1.19
Hamburg;Control;-1.3
Hamburg;Control;-1.12
Hamburg;Control;-1.17
Hamburg;Control;-0.97
Hamburg;Control;-1.2
Hamburg;Control;-1.19
Hannover;Control;-1.29
Hannover;Control;-1.49
Hannover;Control;-1.33
Hannover;Control;-1.21
Hannover;Control;-1.37
Hannover;Control;-1.15
Hannover;Control;-1.51
Hannover;Control;-1.32
Hannover;Control;-1.11
Hannover;Control;-1.13
Hannover;Control;-1.35
Hannover;Control;-1.47
Hannover;Control;-1.27
Hannover;Control;-1.41
Hannover;Control;-1.23
Hannover;Control;-1.3
Hannover;Control;-1.27
Hannover;Control;-1.46
Hannover;Control;-1.31
Hannover;Control;-1.13
Hannover;Control;-1.43
Hannover;Control;-1.51
Hannover;Control;-1.27
Hannover;Control;-1.6
Frankfurt;Control;-0.84
Frankfurt;Control;-1.18
Frankfurt;Control;-1.2
Frankfurt;Control;-1.19
Frankfurt;Control;-0.97
Frankfurt;Control;-0.89
Frankfurt;Control;-1.23
Frankfurt;Control;-1.05
Frankfurt;Control;-0.83
Frankfurt;Control;-1.03
Frankfurt;Control;-0.98
Frankfurt;Control;-1.24
Frankfurt;Control;-0.94
Frankfurt;Control;-1
Frankfurt;Control;-1.09
Frankfurt;Control;-0.91
Frankfurt;Control;-1.12
Frankfurt;Control;-1.19
Frankfurt;Control;-1.11
Frankfurt;Control;-0.78
Frankfurt;Control;-1.02
Frankfurt;Control;-1.38
Frankfurt;Control;-0.83
Frankfurt;Control;-0.91
Chorges;Control;-0.71
Chorges;Control;-1.12
Chorges;Control;-0.89
Chorges;Control;-0.93
Chorges;Control;-0.61
Chorges;Control;-0.67
Chorges;Control;-1.14
Chorges;Control;-1.19
Chorges;Control;-0.67
Chorges;Control;-0.83
Chorges;Control;-0.97
Chorges;Control;-1.11
Chorges;Control;-0.99
Chorges;Control;-1.13
Chorges;Control;-1.09
Chorges;Control;-0.88
Chorges;Control;-0.96
Chorges;Control;-1.05
Chorges;Control;-0.79
Chorges;Control;-1.04
Chorges;Control;-0.83
Chorges;Control;-0.92
Chorges;Control;-0.93
Chorges;Control;-1.23
Siena;Control;-1
Siena;Control;-1.15
Siena;Control;-0.98
Siena;Control;-1.15
Siena;Control;-1.19
Siena;Control;-1.29
Siena;Control;-0.95
Siena;Control;-1.03
Siena;Control;-0.98
Siena;Control;-0.94
Siena;Control;-1.08
Siena;Control;-1.12
Siena;Control;-1.09
Siena;Control;-1.16
Siena;Control;-0.97
Siena;Control;-1.12
Siena;Control;-1.02
Siena;Control;-0.92
Siena;Control;-0.87
Siena;Control;-1.02
Siena;Control;-1.01
Siena;Control;-0.96
Siena;Control;-1.15
Siena;Control;-0.76
Skagen;Hardening;-2.01
Skagen;Hardening;-1.91
Skagen;Hardening;-2.11
Skagen;Hardening;-1.78
Skagen;Hardening;-2.33
Skagen;Hardening;-2.03
Skagen;Hardening;-1.93
Skagen;Hardening;-2.02
Skagen;Hardening;-1.9
Skagen;Hardening;-2.01
Skagen;Hardening;-2.03
Skagen;Hardening;-1.97
Skagen;Hardening;-1.92
Skagen;Hardening;-2.12
Skagen;Hardening;-2.02
Skagen;Hardening;-1.99
Skagen;Hardening;-1.82
Skagen;Hardening;-2.02
Skagen;Hardening;-1.78
Skagen;Hardening;-1.45
Skagen;Hardening;-1.78
Skagen;Hardening;-1.56
Skagen;Hardening;-2.03
Skagen;Hardening;-1.92
Mols;Hardening;-1.51
Mols;Hardening;-1.73
Mols;Hardening;-1.67
Mols;Hardening;-1.69
Mols;Hardening;-1.86
Mols;Hardening;-1.73
Mols;Hardening;-1.79
Mols;Hardening;-1.71
Mols;Hardening;-1.52
Mols;Hardening;-1.61
Mols;Hardening;-1.67
Mols;Hardening;-1.78
Mols;Hardening;-1.63
Mols;Hardening;-1.77
Mols;Hardening;-1.59
Mols;Hardening;-1.67
Mols;Hardening;-1.81
Mols;Hardening;-1.68
Mols;Hardening;-1.35
Mols;Hardening;-1.45
Mols;Hardening;-1.57
Mols;Hardening;-1.55
Mols;Hardening;-1.43
Mols;Hardening;-1.68
Hamburg;Hardening;-1.76
Hamburg;Hardening;-1.24
Hamburg;Hardening;-1.37
Hamburg;Hardening;-1.47
Hamburg;Hardening;-1.46
Hamburg;Hardening;-1.48
Hamburg;Hardening;-1.58
Hamburg;Hardening;-1.73
Hamburg;Hardening;-1.32
Hamburg;Hardening;-1.35
Hamburg;Hardening;-1.55
Hamburg;Hardening;-1.43
Hamburg;Hardening;-1.56
Hamburg;Hardening;-1.32
Hamburg;Hardening;-1.51
Hamburg;Hardening;-1.53
Hamburg;Hardening;-1.42
Hamburg;Hardening;-1.39
Hamburg;Hardening;-1.31
Hamburg;Hardening;-1.54
Hamburg;Hardening;-1.22
Hamburg;Hardening;-1.46
Hamburg;Hardening;-1.11
Hamburg;Hardening;-1.39
Hannover;Hardening;-1.54
Hannover;Hardening;-1.67
Hannover;Hardening;-1.39
Hannover;Hardening;-1.31
Hannover;Hardening;-1.5
Hannover;Hardening;-1.53
Hannover;Hardening;-1.79
Hannover;Hardening;-1.76
Hannover;Hardening;-1.41
Hannover;Hardening;-1.14
Hannover;Hardening;-1.56
Hannover;Hardening;-1.69
Hannover;Hardening;-1.55
Hannover;Hardening;-1.59
Hannover;Hardening;-1.73
Hannover;Hardening;-1.54
Hannover;Hardening;-1.45
Hannover;Hardening;-1.39
Hannover;Hardening;-1.23
Hannover;Hardening;-1.67
Hannover;Hardening;-1.63
Hannover;Hardening;-1.59
Hannover;Hardening;-1.42
Hannover;Hardening;-1.38
Frankfurt;Hardening;-1.22
Frankfurt;Hardening;-1.39
Frankfurt;Hardening;-1.25
Frankfurt;Hardening;-1.24
Frankfurt;Hardening;-1.36
Frankfurt;Hardening;-1.2
Frankfurt;Hardening;-1.27
Frankfurt;Hardening;-1.16
Frankfurt;Hardening;-1.33
Frankfurt;Hardening;-1.22
Frankfurt;Hardening;-1.35
Frankfurt;Hardening;-1.27
Frankfurt;Hardening;-1.25
Frankfurt;Hardening;-1.23
Frankfurt;Hardening;-1.36
Frankfurt;Hardening;-1.21
Frankfurt;Hardening;-1.39
Frankfurt;Hardening;-1.29
Frankfurt;Hardening;-1.1
Frankfurt;Hardening;-1.54
Frankfurt;Hardening;-1.23
Frankfurt;Hardening;-1.29
Frankfurt;Hardening;-1.15
Frankfurt;Hardening;-1.37
Chorges;Hardening;-1.23
Chorges;Hardening;-1.15
Chorges;Hardening;-1.35
Chorges;Hardening;-1.28
Chorges;Hardening;-1.35
Chorges;Hardening;-1.18
Chorges;Hardening;-1.22
Chorges;Hardening;-1.09
Chorges;Hardening;-1.06
Chorges;Hardening;-1.2
Chorges;Hardening;-1.23
Chorges;Hardening;-1.17
Chorges;Hardening;-1.21
Chorges;Hardening;-1.22
Chorges;Hardening;-1.19
Chorges;Hardening;-1.34
Chorges;Hardening;-1.27
Chorges;Hardening;-1.31
Chorges;Hardening;-1.12
Chorges;Hardening;-1.42
Chorges;Hardening;-1.25
Chorges;Hardening;-1.12
Chorges;Hardening;-1.17
Chorges;Hardening;-1.32
Siena;Hardening;-1.24
Siena;Hardening;-1.13
Siena;Hardening;-1.27
Siena;Hardening;-1.14
Siena;Hardening;-1.22
Siena;Hardening;-1.34
Siena;Hardening;-1.13
Siena;Hardening;-1.38
Siena;Hardening;-1.02
Siena;Hardening;-1.11
Siena;Hardening;-1.37
Siena;Hardening;-1.16
Siena;Hardening;-1.26
Siena;Hardening;-1.19
Siena;Hardening;-1.31
Siena;Hardening;-1.21
Siena;Hardening;-1.34
Siena;Hardening;-1.26
Siena;Hardening;-1.12
Siena;Hardening;-0.95
Siena;Hardening;-1.06
Siena;Hardening;-1.36
Siena;Hardening;-1.39
Siena;Hardening;-1.01
